REF_AREA,Geographic area,INDICATOR,Indicator,SEX,Sex,WEALTH_QUINTILE,Wealth Quintile,SERIES_NAME,Series Name,SERIES_YEAR,Series Year,REGIONAL_GROUP,Regional group,TIME_PERIOD,OBS_VALUE,COUNTRY_NOTES,CONNECTION,DEATH_CATEGORY,CATEGORY,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,SERIES_CATEGORY,Series Category,SERIES_TYPE,Series Type,STD_ERR,REF_DATE,AGE_GROUP_OF_WOMEN,Age Group of Women,TIME_SINCE_FIRST_BIRTH,Time Since First Birth,DEFINITION,INTERVAL,SERIES_METHOD,Series Method,LOWER_BOUND,UPPER_BOUND,STATUS,YEAR_TO_ACHIEVE,MODEL,Model Used
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1169,PAPFAM Family Health Survey 2001 (Direct),2001,2001,,,1979-01,76.73,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",PAP,PAP,D,Direct,,1979.0,,,,,,,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1169,PAPFAM Family Health Survey 2001 (Direct),2001,2001,,,1984-01,49.11,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",PAP,PAP,D,Direct,,1984.0,,,,,,,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1169,PAPFAM Family Health Survey 2001 (Direct),2001,2001,,,1989-01,42.09,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",PAP,PAP,D,Direct,,1989.0,,,,,,,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1169,PAPFAM Family Health Survey 2001 (Direct),2001,2001,,,1994-01,41.39,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",PAP,PAP,D,Direct,,1994.0,,,,,,,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1169,PAPFAM Family Health Survey 2001 (Direct),2001,2001,,,1999-01,18,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",PAP,PAP,D,Direct,,1999.0,,,,,,,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1223,Multiple Indicator Cluster Survey 2011-2012 (Direct),2011_2012,2011-2012,,,2009-08,17.94397,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",MICS,MICS,D,Direct,,2009.6,,,,,,5,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1224,PAPCHILD Maternal and Child Health Survey 1994 (Direct),1994,1994,,,1972-05,83.2,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",PAP,PAP,D,Direct,,1972.4,,,,,,,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1224,PAPCHILD Maternal and Child Health Survey 1994 (Direct),1994,1994,,,1977-05,64.5,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",PAP,PAP,D,Direct,,1977.4,,,,,,,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1224,PAPCHILD Maternal and Child Health Survey 1994 (Direct),1994,1994,,,1982-05,64.4,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",PAP,PAP,D,Direct,,1982.4,,,,,,,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1224,PAPCHILD Maternal and Child Health Survey 1994 (Direct),1994,1994,,,1987-05,51.2,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",PAP,PAP,D,Direct,,1987.4,,,,,,,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1224,PAPCHILD Maternal and Child Health Survey 1994 (Direct),1994,1994,,,1992-05,31.5,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",PAP,PAP,D,Direct,,1992.4,,,,,,,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1227,Vital Registration from Institut National de la Statistique 2015 (VR),2015,2015,,,2010-06,15,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",VR,VR,VR,Vital Records,,2010.5,,,,,,1,VR,Vital Registration,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1227,Vital Registration from Institut National de la Statistique 2015 (VR),2015,2015,,,2011-06,14.8,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",VR,VR,VR,Vital Records,,2011.5,,,,,,1,VR,Vital Registration,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1227,Vital Registration from Institut National de la Statistique 2015 (VR),2015,2015,,,2012-06,15.3,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",VR,VR,VR,Vital Records,,2012.5,,,,,,1,VR,Vital Registration,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1227,Vital Registration from Institut National de la Statistique 2015 (VR),2015,2015,,,2013-06,13.6,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",VR,VR,VR,Vital Records,,2013.5,,,,,,1,VR,Vital Registration,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,1227,Vital Registration from Institut National de la Statistique 2015 (VR),2015,2015,,,2014-06,14.7,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",VR,VR,VR,Vital Records,,2014.5,,,,,,1,VR,Vital Registration,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,2103,Multiple Indicator Cluster Survey 2023 (Direct),2023,2023,,,2000-06,16.92456563,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",MICS,MICS,D,Direct,6.995471437,2000.5,,,,,,5,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,2103,Multiple Indicator Cluster Survey 2023 (Direct),2023,2023,,,2005-06,4.658656468,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",MICS,MICS,D,Direct,1.984198873,2005.5,,,,,,5,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,2103,Multiple Indicator Cluster Survey 2023 (Direct),2023,2023,,,2010-06,12.6345489,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",MICS,MICS,D,Direct,3.731063169,2010.5,,,,,,5,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,2103,Multiple Indicator Cluster Survey 2023 (Direct),2023,2023,,,2015-06,10.47641171,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",MICS,MICS,D,Direct,3.185798285,2015.5,,,,,,5,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,2103,Multiple Indicator Cluster Survey 2023 (Direct),2023,2023,,,2020-06,15.87722979,,,,,IN,Included in IGME,D_PER_1000_B,"Deaths per 1,000 live births",MICS,MICS,D,Direct,4.023651904,2020.5,,,,,,5,FBH,Survey/Census with Full Birth Histories,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,2175,VR Submitted to WHO/UNIGME 2024 version (VR),2023,2023,,,1980-06,36.1527094,,,,,EX,Excluded from IGME,D_PER_1000_B,"Deaths per 1,000 live births",VR,VR,VR,Vital Records,,1980.5,,,,,,1,VR,Vital Registration,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,2175,VR Submitted to WHO/UNIGME 2024 version (VR),2023,2023,,,1987-06,28.91640612,,,,,EX,Excluded from IGME,D_PER_1000_B,"Deaths per 1,000 live births",VR,VR,VR,Vital Records,,1987.5,,,,,,1,VR,Vital Registration,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,2175,VR Submitted to WHO/UNIGME 2024 version (VR),2023,2023,,,1988-06,24.29989031,,,,,EX,Excluded from IGME,D_PER_1000_B,"Deaths per 1,000 live births",VR,VR,VR,Vital Records,,1988.5,,,,,,1,VR,Vital Registration,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,2175,VR Submitted to WHO/UNIGME 2024 version (VR),2023,2023,,,1989-06,22.56059711,,,,,EX,Excluded from IGME,D_PER_1000_B,"Deaths per 1,000 live births",VR,VR,VR,Vital Records,,1989.5,,,,,,1,VR,Vital Registration,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,2175,VR Submitted to WHO/UNIGME 2024 version (VR),2023,2023,,,1991-06,26.17783911,,,,,EX,Excluded from IGME,D_PER_1000_B,"Deaths per 1,000 live births",VR,VR,VR,Vital Records,,1991.5,,,,,,1,VR,Vital Registration,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,2175,VR Submitted to WHO/UNIGME 2024 version (VR),2023,2023,,,1992-06,23.8703238,,,,,EX,Excluded from IGME,D_PER_1000_B,"Deaths per 1,000 live births",VR,VR,VR,Vital Records,,1992.5,,,,,,1,VR,Vital Registration,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,2175,VR Submitted to WHO/UNIGME 2024 version (VR),2023,2023,,,1993-06,24.95100537,,,,,EX,Excluded from IGME,D_PER_1000_B,"Deaths per 1,000 live births",VR,VR,VR,Vital Records,,1993.5,,,,,,1,VR,Vital Registration,,,,,,
TUN,Tunisia,MRY0,Infant mortality rate,F,Female,_T,Total,2175,VR Submitted to WHO/UNIGME 2024 version (VR),2023,2023,,,1994-06,23.42008496,,,,,EX,Excluded from IGME,D_PER_1000_B,"Deaths per 1,000 live births",VR,VR,VR,Vital Records,,1994.5,,,,,,1,VR,Vital Registration,,,,,,
